home_team,away_team,home_score,away_score,Total_Shots,Possession,Player_Rating
Espanyol,Real Sociedad,2,0,0.447826087,0.120173913,0.30173913
Real Madrid,Ath.Bilbao,1,1,0.691304348,0.120521739,0.371304348
Real Madrid,Barcelona,0,3,0.482608696,0.114956522,0.336521739
Real Madrid,Ath.Madrid,1,1,0.62173913,0.120869565,0.38173913
Real Madrid,Valencia,2,2,0.586956522,0.118782609,0.353913043
Real Madrid,Sevilla,5,0,0.865217391,0.121217391,0.416521739
Real Madrid,Espanyol,2,0,0.586956522,0.119826087,0.357391304
Real Madrid,Real Sociedad,5,2,0.691304348,0.120521739,0.406086957
Real Madrid,Villareal,0,1,0.447826087,0.120173913,0.34
Real Madrid,Eibar,3,0,0.691304348,0.120521739,0.430434783
Ath.Bilbao,Real Madrid,0,0,0.552173913,0.117043478,0.34
Barcelona,Real Madrid,2,2,0.586956522,0.117043478,0.371304348
Ath.Madrid,Real Madrid,0,0,0.586956522,0.118782609,0.326086957
Valencia,Real Madrid,1,4,0.795652174,0.119826087,0.409565217
Sevilla,Real Madrid,3,2,0.586956522,0.11773913,0.343478261
Espanyol,Real Madrid,1,0,0.726086957,0.119130435,0.34
Real Sociedad,Real Madrid,1,3,0.586956522,0.120173913,0.38173913
Villareal,Real Madrid,2,2,0.552173913,0.119826087,0.374782609
Eibar,Real Madrid,1,2,0.760869565,0.11773913,0.343478261
Barcelona,Ath.Bilbao,2,0,0.517391304,0.120521739,0.399130435
Barcelona,Ath.Madrid,1,0,0.691304348,0.121565217,0.371304348
Barcelona,Valencia,2,1,0.656521739,0.120521739,0.406086957
Barcelona,Sevilla,2,1,0.586956522,0.119826087,0.395652174
Barcelona,Espanyol,5,0,0.691304348,0.120521739,0.430434783
Barcelona,Real Sociedad,1,0,0.517391304,0.121217391,0.360869565
Barcelona,Villareal,5,1,0.656521739,0.121217391,0.430434783
Barcelona,Eibar,6,1,0.865217391,0.12226087,0.437391304
Ath.Bilbao,Barcelona,0,2,0.726086957,0.119826087,0.402608696
Ath.Madrid,Barcelona,1,1,0.62173913,0.119478261,0.360869565
Valencia,Barcelona,1,1,0.482608696,0.120173913,0.371304348
Sevilla,Barcelona,2,2,0.691304348,0.119826087,0.353913043
Espanyol,Barcelona,1,1,0.447826087,0.120521739,0.371304348
Real Sociedad,Barcelona,2,4,0.656521739,0.119826087,0.430434783
Villareal,Barcelona,0,2,0.517391304,0.11773913,0.395652174
Eibar,Barcelona,0,2,0.726086957,0.121217391,0.374782609
Ath.Madrid,Eibar,2,2,0.656521739,0.11773913,0.357391304
Ath.Madrid,Villareal,1,1,0.447826087,0.118782609,0.346956522
Ath.Madrid,Real Sociedad,2,1,0.586956522,0.119826087,0.350434783
Ath.Madrid,Espanyol,0,2,0.482608696,0.117043478,0.326086957
Ath.Madrid,Sevilla,2,0,0.656521739,0.11773913,0.350434783
Ath.Madrid,Valencia,1,0,0.447826087,0.119826087,0.346956522
Ath.Madrid,Ath.Bilbao,2,0,0.62173913,0.119130435,0.360869565
Eibar,Ath.Madrid,0,1,0.586956522,0.119478261,0.343478261
Villareal,Ath.Madrid,2,1,0.482608696,0.11773913,0.333043478
Real Sociedad,Ath.Madrid,3,0,0.413043478,0.116347826,0.319130435
Espanyol,Ath.Madrid,1,0,0.37826087,0.117043478,0.312173913
Sevilla,Ath.Madrid,2,5,0.726086957,0.11773913,0.371304348
Valencia,Ath.Madrid,0,0,0.447826087,0.11773913,0.34
Ath.Bilbao,Ath.Madrid,1,2,0.552173913,0.119130435,0.353913043
Ath.Bilbao,Valencia,1,1,0.447826087,0.11773913,0.336521739
Ath.Bilbao,Sevilla,1,0,0.482608696,0.118782609,0.371304348
Ath.Bilbao,Espanyol,0,1,0.447826087,0.11773913,0.333043478
Ath.Bilbao,Real Sociedad,0,0,0.517391304,0.119130435,0.350434783
Ath.Bilbao,Villareal,1,1,0.586956522,0.11773913,0.333043478
Ath.Bilbao,Eibar,1,1,0.656521739,0.119130435,0.34
Valencia,Ath.Bilbao,3,2,0.482608696,0.116695652,0.326086957
Sevilla,Ath.Bilbao,2,0,0.691304348,0.11773913,0.312173913
Espanyol,Ath.Bilbao,1,1,0.517391304,0.119826087,0.326086957
Real Sociedad,Ath.Bilbao,3,1,0.586956522,0.115304348,0.333043478
Villareal,Ath.Bilbao,1,3,0.62173913,0.117043478,0.346956522
